,Unnamed: 0,_id,designation,discovery_date,h_mag,moid_au,q_au_1,q_au_2,period_yr,i_deg,pha,orbit_class,random_no
0,0,61126de7e8219513a7dc26b7,407324 (2010 OB101),2010-07-18T00:00:00.000,20.7,0.111,0.77,2.46,2.06,9.12,N,Apollo,55
1,1,61126de7e8219513a7dc26b8,386847 (2010 LR33),2010-06-06T00:00:00.000,18.0,0.029,0.91,2.48,2.2,5.84,Y,Apollo,19
2,2,61126de7e8219513a7dc26b9,419624 (2010 SO16),2010-09-17T00:00:00.000,20.5,0.028,0.93,1.08,1.0,14.52,Y,Apollo,157
3,3,61126de7e8219513a7dc26ba,419880 (2011 AH37),2011-01-07T00:00:00.000,19.7,0.035,0.84,4.26,4.06,9.65,Y,Apollo,93
4,4,61126de7e8219513a7dc26bb,414772 (2010 OC103),2010-07-28T00:00:00.000,19.0,0.333,0.39,2.0,1.31,23.11,N,Apollo,133
5,5,61126de7e8219513a7dc26bc,381989 (2010 HR80),2010-04-28T00:00:00.000,19.9,0.104,0.68,2.02,1.56,26.71,N,Apollo,68
6,6,61126de7e8219513a7dc26bd,398188 (2010 LE15),2010-06-03T00:00:00.000,19.5,0.024,0.63,1.1,0.8,13.25,Y,Aten,117
7,7,61126de7e8219513a7dc26be,369454 (2010 NZ1),2010-07-09T00:00:00.000,19.4,0.275,0.49,2.26,1.61,32.78,N,Apollo,81
8,8,61126de7e8219513a7dc26bf,365424 (2010 KX7),2010-05-16T00:00:00.000,21.9,0.034,0.82,1.16,0.98,21.49,Y,Aten,163
9,9,61126de7e8219513a7dc26c0,356394 (2010 QD2),2010-08-21T00:00:00.000,17.4,0.061,0.43,3.59,2.85,10.64,N,Apollo,191
10,10,61126de7e8219513a7dc26c1,(2015 GK50),2015-04-05T00:00:00.000,20.5,0.237,1.03,5.12,5.39,19.07,N,Amor,28
11,11,61126de7e8219513a7dc26c2,365449 (2010 NJ1),2010-07-03T00:00:00.000,20.3,0.155,0.44,1.49,0.95,11.23,N,Aten,24
12,12,61126de7e8219513a7dc26c3,(2015 HF11),2015-04-17T00:00:00.000,19.2,0.225,1.22,2.93,2.99,34.89,N,Amor,153
13,13,61126de7e8219513a7dc26c4,(2015 FT344),2015-03-23T00:00:00.000,20.5,0.203,1.09,4.01,4.07,12.55,N,Amor,189
14,14,61126de7e8219513a7dc26c5,395207 (2010 HQ80),2010-04-25T00:00:00.000,19.6,0.007,0.8,2.34,1.96,27.85,Y,Apollo,192
15,15,61126de7e8219513a7dc26c6,414746 (2010 EH20),2010-03-06T00:00:00.000,18.0,0.268,1.25,3.99,4.24,23.89,N,Amor,142
